DrillCo Active?,No,No,No,No,No,No,No,No,No,No,No,No,No,No
DrillCo Start Well,15,1,1,1,1,1,1,1,1,1,1,1,1,1
DrillCo Wells,16,8,8,28,32,8,8,110,16,16,16,16,8,8
DrillCo Total Commitment,#N/A,23646.144,23646.144,31072.2048,94696.2432,23646.144,26601.912,203448.96,56004.5952,62401.01459,#N/A,#N/A,23646.144,23646.144
DrillCo Outstanding at Model Start,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DrillCo Hurdle IRR %,0.12,0.14,0.14,0.15,0.14,0.14,0.14,0.14,0.12,0.12,0.12,0.12,0.14,0.14
DrillCo Hurdle ROI x,1.15,1.15,1.15,1.2,1.25,1.15,1.15,1.25,1.15,1.15,1.15,1.15,1.15,1.15
DrillCo Pre-Hurdle Investor Share - Capex,0.9,0.8,0.8,0.3,0.8,0.8,0.9,0.5,0.9,0.9,0.9,0.9,0.8,0.8
DrillCo Post-Hurdle Investor Share - Capex,0.9,0.8,0.8,0.3,0.8,0.8,0.2,0.5,0.9,0.9,0.9,0.9,0.8,0.8
DrillCo Pre-Hurdle Investor Share - WI,0.7,0.8,0.8,0.3,0.8,0.8,0.9,0.5,0.7,0.7,0.7,0.7,0.8,0.8
DrillCo Post-Hurdle Investor Share - WI,0.15,0.8,0.8,0.3,0.8,0.8,0.2,0.5,0.15,0.15,0.15,0.15,0.8,0.8
