TRKRN Water,TRACKER Water,NORTHWEST Water,SOUTHWEST Water,LGOR Water,HGOR Water,B3 LGOR Water,B1 LGOR Water,B3 MGOR Water,B1 MGOR Water,B3 HGOR Water,B1 HGOR Water,NEW A1 LGOR Water,NEW C1 LGOR Water,NEW B1 LGOR Water,NEW B3 LGOR Water,NEW GENERIC Water,GANADOR Water,MUNSON Water,DISCOVERY Water,PDP Water,NEW B3 LGOR Risk90 Water,NEW B3 LGOR Risk80 Water,NEW B3 LGOR Risk70 Water,NEW B3 LGOR Risk90_8750 Water,NEW B3 LGOR_10k Water,ESTE Water,TRACKER-N-ORIG Water,TRACKER-S-ORIG Water,MUNSON-8750 Water,MUNSON-10k Water
2.253134766,1.922745502,2.23731644,1.608174563,1.406687085,1.177523489,1.311324434,1.508616418,1.339944288,0.73956254,1.201789149,0.440864586,1.867029912,1.867029912,1.867029912,1.595477424,1.731253668,1.595477424,1.57514209,2.23731644,0,1.435929682,1.276381939,1.116834197,1.675251296,2.127303232,6.604428351,2.14958252,2.14958252,1.722811661,1.190829071
2.18762146,1.871142558,2.176681144,1.565603973,1.366740302,1.141152325,1.27319569,1.464929357,1.300827191,0.717887385,1.16656709,0.427893648,1.807787971,1.807787971,1.807787971,1.559831968,1.683809969,1.559831968,1.543103711,2.176681144,0,1.403848771,1.247865574,1.091882377,1.637823566,2.079775957,6.429177452,2.093550293,2.093550293,1.687769684,1.166607617
2.125810343,1.822379728,2.119414484,1.525344972,1.328999581,1.106869182,1.23722162,1.423701278,1.263929182,0.697446577,1.133350629,0.415664123,1.75151685,1.75151685,1.75151685,1.525975864,1.638746357,1.525975864,1.512525684,2.119414484,0,1.373378277,1.220780691,1.068183105,1.602274657,2.034634485,6.262986637,2.0405,2.0405,1.654324966,1.143490208
2.067396037,1.775468238,2.064350514,1.486585963,1.293287194,1.073965891,1.203224493,1.384730178,1.22906661,0.678137515,1.101973402,0.404114232,1.697105937,1.697105937,1.697105937,1.493244116,1.595175027,1.493244116,1.483306348,2.064350514,0,1.343919704,1.194595293,1.045270881,1.567906321,1.990992154,6.105170873,1.990196411,1.990196411,1.622366318,1.121399988
2.012105916,1.731715609,2.013019499,1.450411719,1.259443761,1.043347284,1.171045643,1.347835603,1.196075598,0.659868787,1.072286689,0.393188825,1.646103316,1.646103316,1.646103316,1.46257037,1.554336843,1.46257037,1.455353613,2.013019499,0,1.316313333,1.170056296,1.023799259,1.535698888,1.950093826,5.955112407,1.942428345,1.942428345,1.591793015,1.100267337
1.959696045,1.69017924,1.964311197,1.416047282,1.227326365,1.014341785,1.140543098,1.312856044,1.164809202,0.642558455,1.044157518,0.382838586,1.597443685,1.597443685,1.597443685,1.433315595,1.51537964,1.433315595,1.428583496,1.964311197,0,1.289984035,1.146652476,1.003320916,1.504981374,1.911087459,5.812253341,1.897006226,1.897006226,1.562513199,1.08002876
1.909947103,1.650671003,1.918001358,1.383340648,1.196806177,0.98680811,1.111589214,1.279646095,1.135135869,0.626133105,1.017466296,0.373019261,1.550935549,1.550935549,1.550935549,1.40536582,1.478150685,1.40536582,1.402919531,1.918001358,0,1.264829238,1.124292656,0.983756074,1.475634111,1.873821094,5.676087325,1.853758789,1.853758789,1.534443237,1.06062645
1.862661336,1.613063656,1.873938061,1.352189251,1.167767039,0.960650069,1.084068898,1.248074679,1.106936719,0.610526549,0.992105687,0.363691033,1.506450791,1.506450791,1.506450791,1.378645072,1.442547932,1.378645072,1.378291895,1.873938061,0,1.240780565,1.102916057,0.96505155,1.447577325,1.838193429,5.546155196,1.812531372,1.812531372,1.50750676,1.042007618
1.817660319,1.576633309,1.831270754,1.321995864,1.140103685,0.935357685,1.057878306,1.218023624,1.080104591,0.595679048,0.967978417,0.354817966,1.463152343,1.463152343,1.463152343,1.352651344,1.407901843,1.352651344,1.354636426,1.831270754,0,1.21738621,1.082121075,0.946855941,1.420283912,1.803535126,5.42203842,1.773183472,1.773183472,1.481633591,1.024123758
1.774782308,1.543521171,1.792504102,1.29453824,1.113720443,0.91240901,1.032923303,1.189385653,1.05454251,0.581536491,0.944996805,0.346367498,1.423615728,1.423615728,1.423615728,1.328930303,1.376273015,1.328930303,1.331894434,1.792504102,0,1.196037273,1.063144242,0.930251212,1.395376818,1.771907071,5.303354723,1.735587646,1.735587646,1.456759537,1.0069305
