TRKRN Gas,TRACKER Gas,TRACKER-NORTH Gas,TRACKER-SOUTH Gas,LGOR Gas,HGOR Gas,B3 LGOR Gas,B1 LGOR Gas,B3 MGOR Gas,B1 MGOR Gas,B3 HGOR Gas,B1 HGOR Gas,NEW A1 LGOR Gas,NEW C1 LGOR Gas,NEW B1 LGOR Gas,NEW B3 LGOR Gas,NEW GENERIC Gas,GANADOR Gas,MUNSON Gas,DISCOVERY Gas,PDP Gas,NEW B3 LGOR Risk90 Gas,NEW B3 LGOR Risk80 Gas,NEW B3 LGOR Risk70 Gas,NEW B3 LGOR Risk90_8750 Gas,NEW B3 LGOR_10k Gas,ESTE Gas,TRACKER-N-ORIG Gas,TRACKER-S-ORIG Gas,MUNSON-8750 Gas,MUNSON-10k Gas
12.331,10.3125,6.875,13.75,3.4726,19.7809675,1.145812618,0.763875059,4.0315625,5.927777515,5.860416509,16.671875,0.425423376,1.338710968,0.60774768,1.57495408,1.09135088,1.57495408,9.364192969,6.875,0,1.417458672,1.259963264,1.102467856,1.653701784,2.099938773,6.746563939,6.875,13.75,10.24208606,7.079458602
12.501,27.48833691,13.63067383,41.346,8.087735908,41.01736316,2.564437737,1.709625118,10.23046875,17.78333207,12.73125,41.71,2.062250652,6.162682376,2.94607236,7.25021456,5.09814346,7.25021456,8.808371094,13.63067383,0,6.525193104,5.800171648,5.075150192,7.612725288,9.666952747,18.95497204,13.63067383,41.346,9.634155884,6.659249624
14.25725,32.58716113,17.67394336,47.50037891,10.65760882,38.97457348,8.85125,7.131090459,12.68578125,22.52555598,39.84405344,59.17,3.798622044,12.48678206,5.42660292,14.69033184,10.05846738,14.69033184,8.562003906,17.67394336,0,13.22129866,11.75226547,10.28323229,15.42484843,19.58710912,20.40328886,17.67394336,47.50037891,9.364691772,6.472992644
22.69275,36.34965918,23.49187695,49.20744141,11.35863274,40.01106773,12.00375095,8.381424248,15.14109375,21.54140762,39.73083625,54.63218086,4.463539584,15.14615734,6.37648512,17.81900864,12.09774688,17.81900864,8.511179688,23.49187695,0,16.03710778,14.25520691,12.47330605,18.70995907,23.75867819,21.58275473,23.49187695,49.20744141,9.309102783,6.434568836
28.28875,38.1995166,27.74429883,48.65473438,11.0456505,37.56680414,15.15625095,9.421293613,17.59640625,18.10478287,40.89706801,43.61105223,4.975193244,16.19311404,7.10741892,19.0507224,13.07907066,19.0507224,8.599675,27.74429883,0,17.14565016,15.24057792,13.33550568,20.00325852,25.4009632,22.58404564,27.74429883,48.65473438,9.405894531,6.501472509
38.90901636,39.69543164,31.01778125,48.37308203,10.97269021,32.75282676,15.83699202,10.31940847,20.05171875,16.77368332,42.37325266,40.33992047,5.40139068,17.05534316,7.7162724,20.0651096,13.890691,20.0651096,8.797428906,31.01778125,0,18.05859864,16.05208768,14.04557672,21.06836508,26.75347947,23.4582315,31.01778125,48.37308203,9.622187866,6.65097718
37.25915044,40.70245117,33.63447266,47.77042969,11.0133459,29.27426656,14.75201197,11.1150396,22.50703125,16.15567207,40.71277938,39.11063871,5.770926924,17.80578327,8.24418132,20.94798032,14.59608082,20.94798032,9.087836719,33.63447266,0,18.85318229,16.75838426,14.66358622,21.99537934,27.93064043,24.23685876,33.63447266,47.77042969,9.939821411,6.870529478
36.39367766,41.36158008,35.78692578,46.93623438,11.11405065,26.61872863,14.31625084,11.83279887,21.59232314,15.86456313,36.76771359,38.71370789,6.082718292,18.44443438,8.68959756,21.69933456,15.19446606,21.69933456,9.461934375,35.78692578,0,19.5294011,17.35946765,15.18953419,22.78430129,28.93244608,24.94079996,35.78692578,46.93623438,10.34899072,7.153352448
35.93756735,40.99668555,35.68372266,46.30964844,11.24852543,24.51113271,14.16037733,12.4891649,18.84631945,15.74817071,33.68492855,36.66443891,6.360915456,19.01666376,9.08702208,22.3725456,15.72978384,22.3725456,9.915471875,35.68372266,0,20.13529104,17.89803648,15.66078192,23.49117288,29.8300608,25.5846138,35.68372266,46.30964844,10.84504736,7.496233033
35.7175863,39.84350781,33.85724219,45.82977344,11.40257829,22.78918,14.14731738,13.09573887,17.37520268,15.73428096,31.19563953,33.33852488,6.283354644,18.53968062,8.97622092,21.81138896,15.39380494,21.81138896,10.44735234,33.85724219,0,19.63025006,17.44911117,15.26797227,22.90195841,29.08185195,24.96529163,33.85724219,45.82977344,11.42679163,7.898341978
