Date,gas_hsc_pct,gas_waha_pct,gas_all_pct,oil_midland_pct,oil_houston_pct,oil_all_pct,ngl_ethane_pct,ngl_propane_pct,ngl_n_butane_pct,ngl_iso_butane_pct,ngl_nat_gasoline_pct,ngl_all_pct
52962,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
52993,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53021,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53052,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53082,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53113,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53143,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53174,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53205,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53235,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53266,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53296,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53327,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53358,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53386,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53417,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53447,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53478,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53508,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53539,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53570,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53600,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53631,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53661,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53692,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53723,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53751,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53782,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53812,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53843,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53873,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53904,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53935,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53965,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
53996,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54026,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54057,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54088,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54117,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54148,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54178,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54209,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
54239,0.36033025,0.63966975,1,1,0,1,1,1,1,1,1,1
