#,SUB-ASSET,Rig Crew #,CAPEX SCENARIO,TARGET,FRAC SIZE,BASE LL FOR CAPEX,PROPNUM,WELL,WELL RANKING,PAD NAME,WELLS ON PAD,DRILL ORDER,TYPE CURVE AREA,High Pressure Gas Trunkline,WI %,NRI %,RESCAT,PERFED LATERAL LENGTH,COMPLETION DESIGN,CURRENT STATUS,TANK BATTERY,AFE,PLANNING & STAKING,PERMITTED,LOCATION BUILDING,SPUD,PAD SPUD,TD,RIG RELEASE (PAD),COMPLETION START,FRAC END,DRILL OUT START,COMPLETION END,PUT ON PRODUCTION,TURNED TO LOE,POST DRILL FILING REQUIREMENTS,1ST OIL,Hedging: Include in BVTH
200,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 43,3,GGGGG,4,3,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46347,46316,46347,46407,46438,46437,46448,46458,46463,46507,46508,46520,46521,46551,46528,46521,
201,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 44,3,GGGGG,4,4,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46357,46326,46357,46417,46448,46447,46458,46458,46463,46507,46508,46520,46521,46551,46538,46521,
202,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 45,3,GGGGG,4,1,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46457,46426,46457,46517,46548,46547,46558,46588,46593,46637,46638,46650,46651,46681,46638,46651,
203,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 46,3,GGGGG,4,2,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46467,46436,46467,46527,46558,46557,46568,46588,46593,46637,46638,46650,46651,46681,46648,46651,
204,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 47,3,GGGGG,4,3,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46477,46446,46477,46537,46568,46567,46578,46588,46593,46637,46638,46650,46651,46681,46658,46651,
205,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 48,3,GGGGG,4,4,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46487,46456,46487,46547,46578,46577,46588,46588,46593,46637,46638,46650,46651,46681,46668,46651,
206,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 21,3,LLLLL,4,1,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46587,46556,46587,46647,46678,46677,46688,46718,46723,46767,46768,46780,46781,46811,46768,46781,
207,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 22,3,LLLLL,4,2,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46597,46566,46597,46657,46688,46687,46698,46718,46723,46767,46768,46780,46781,46811,46778,46781,
208,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 23,3,LLLLL,4,3,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46607,46576,46607,46667,46698,46697,46708,46718,46723,46767,46768,46780,46781,46811,46788,46781,
209,LeasingII,Rig Crew 1,B3 - FARMAR 10K,B3,2050,#REF!,LLLLL,LeasingII//GEN 24,3,LLLLL,4,4,NEW B3 LGOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,LEASINGII TB,46617,46586,46617,46677,46708,46707,46718,46718,46723,46767,46768,46780,46781,46811,46798,46781,
210,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 49,3,GGGGG,4,1,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46717,46686,46717,46777,46808,46807,46818,46848,46853,46897,46898,46910,46911,46941,46898,46911,
211,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 50,3,GGGGG,4,2,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46727,46696,46727,46787,46818,46817,46828,46848,46853,46897,46898,46910,46911,46941,46908,46911,
212,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 51,3,GGGGG,4,3,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46737,46706,46737,46797,46828,46827,46838,46848,46853,46897,46898,46910,46911,46941,46918,46911,
213,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 52,3,GGGGG,4,4,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46747,46716,46747,46807,46838,46837,46848,46848,46853,46897,46898,46910,46911,46941,46928,46911,
214,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 53,3,GGGGG,4,1,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46847,46816,46847,46907,46938,46937,46948,46978,46983,47027,47028,47040,47041,47071,47028,47041,
215,Ganador,Rig Crew 1,GENERIC - GANADOR,GENERIC,2050,#REF!,GGGGG,Ganador//GEN 54,3,GGGGG,4,2,GANADOR,GENERIC,100,75,4PUD,#REF!,50-2000-10-18-180,FUTURE,GANADOR TB,46857,46826,46857,46917,46948,46947,46958,46978,46983,47027,47028,47040,47041,47071,47038,47041,
